timestamp,event,x,y,z
2021-10-28T12:29:18Z,MOVE,10,-10,1
2021-10-28T03:53:52Z,MOVE,1,2,2
2021-10-28T03:50:29Z,MOVE,2,1,1
2021-10-28T03:46:33Z,MOVE,-250,-250,-250
2021-10-28T03:42:47Z,MOVE,-1000,-1000,-999
2021-10-28T03:42:07Z,MOVE,1000,1000,999
2021-10-28T03:41:26Z,MOVE,250,250,250
2021-10-28T03:40:37Z,MOVE,0,-1,-1
2021-10-28T03:00:18Z,MOVE,384,135,-786
2021-10-28T02:54:38Z,MOVE,0,-1,0
2021-10-28T02:53:05Z,MOVE,588,345,763
2021-10-25T13:52:21Z,MOVE,-1,-1,0
2021-10-25T13:51:14Z,MOVE,0,1,1
2021-10-25T13:44:49Z,MOVE,-2,-1,-1
2021-10-25T11:24:15Z,MOVE,0,2,1
2021-10-25T11:23:03Z,MOVE,0,2,1
2021-10-25T05:03:53Z,MOVE,1,2,1
2021-10-25T05:03:33Z,MOVE,-649,-563,-89
2021-10-25T04:52:04Z,MOVE,24,24,26
2021-10-25T04:05:49Z,MOVE,1,6,82
2021-10-25T03:06:14Z,MOVE,-1,1,0
2021-10-25T02:48:10Z,MOVE,694,20,69
2021-10-25T02:18:05Z,MINT,10,1,20
2021-10-25T02:17:14Z,MINT,694,2,69
2021-10-25T02:16:59Z,MINT,22,9,86
2021-10-25T02:16:04Z,MINT,21,5,88
2021-10-25T02:16:04Z,MINT,-845,839,703
2021-10-25T02:15:51Z,MINT,-100,-100,-100
2021-10-25T02:15:45Z,MINT,-923,763,-594
2021-10-25T02:15:38Z,MINT,-9,-6,-91
2021-10-25T02:15:38Z,MINT,-820,58,457
2021-10-25T02:15:38Z,MINT,11,-11,11
2021-10-25T02:15:25Z,MINT,444,555,666
2021-10-25T02:15:06Z,MINT,6,171,-888
2021-10-25T02:15:06Z,MINT,0,0,-1
2021-10-25T02:15:06Z,MINT,94,527,206
2021-10-25T02:15:06Z,MINT,742,458,-811
2021-10-25T02:15:06Z,MINT,683,-742,251
2021-10-25T02:15:06Z,MINT,69,420,777
2021-10-25T02:14:45Z,MINT,11,11,1
2021-10-25T02:14:39Z,MINT,-999,-999,999
2021-10-25T02:14:33Z,MINT,147,258,369
2021-10-25T02:14:33Z,MINT,142,974,556
2021-10-25T02:14:33Z,MINT,-137,412,-252
2021-10-25T02:14:33Z,MINT,-86,220,-832
2021-10-25T02:14:33Z,MINT,11,111,111
2021-10-25T02:14:33Z,MINT,63,22,26
2021-10-25T02:14:33Z,MINT,442,-699,-761
2021-10-25T02:14:33Z,MINT,-420,420,-420
2021-10-25T02:14:33Z,MINT,-985,738,-165
2021-10-25T02:14:33Z,MINT,-278,356,850
2021-10-25T02:14:33Z,MINT,69,666,69
2021-10-25T02:14:33Z,MINT,-623,585,360
2021-10-25T02:14:33Z,MINT,829,-270,38
2021-10-25T02:14:13Z,MINT,29,297,482
2021-10-25T02:14:13Z,MINT,-206,966,-42
2021-10-25T02:14:13Z,MINT,-69,420,-420
2021-10-25T02:14:13Z,MINT,989,421,-204
2021-10-25T02:14:13Z,MINT,972,137,-487
2021-10-25T02:14:00Z,MINT,-5,12,8
2021-10-25T02:14:00Z,MINT,-615,-632,702
2021-10-25T02:14:00Z,MINT,8,4,12
2021-10-25T02:14:00Z,MINT,-915,501,-160
2021-10-25T02:13:53Z,MINT,356,-703,-86
2021-10-25T02:13:46Z,MINT,-183,780,-348
2021-10-25T02:13:46Z,MINT,0,0,-1
2021-10-25T02:13:46Z,MINT,382,374,-631
2021-10-25T02:13:46Z,MINT,-195,334,-560
2021-10-25T02:13:46Z,MINT,10,999,888
2021-10-25T02:13:46Z,MINT,-18,-928,-554
2021-10-25T02:13:46Z,MINT,219,-726,-554
2021-10-25T02:13:46Z,MINT,8,0,8
2021-10-25T02:13:32Z,MINT,680,-417,587
2021-10-25T02:13:32Z,MINT,-973,465,-102
2021-10-25T02:13:32Z,MINT,6,9,0
2021-10-25T02:13:32Z,MINT,55,55,55
2021-10-25T02:13:32Z,MINT,696,-969,696
2021-10-25T02:13:26Z,MINT,18,679,-534
2021-10-25T02:13:26Z,MINT,-1,2,-3
2021-10-25T02:13:26Z,MINT,-696,-696,-696
2021-10-25T02:13:19Z,MINT,356,520,254
2021-10-25T02:13:19Z,MINT,7,0,6
2021-10-25T02:13:19Z,MINT,20,20,20
2021-10-25T02:13:12Z,MINT,-58,-165,930
2021-10-25T02:13:12Z,MINT,616,51,98
2021-10-25T02:13:12Z,MINT,408,526,389
2021-10-25T02:13:12Z,MINT,222,22,22
2021-10-25T02:13:12Z,MINT,111,-111,111
2021-10-25T02:13:12Z,MINT,427,128,-945
2021-10-25T02:13:12Z,MINT,999,888,777
2021-10-25T02:13:12Z,MINT,-243,120,-789
2021-10-25T02:13:12Z,MINT,-22,-8,-96
2021-10-25T02:13:12Z,MINT,250,350,450
2021-10-25T02:13:00Z,MINT,729,729,729
2021-10-25T02:13:00Z,MINT,2,7,19
2021-10-25T02:12:52Z,MINT,69,420,100
2021-10-25T02:12:45Z,MINT,-112,112,120
2021-10-25T02:12:45Z,MINT,-439,-873,451
2021-10-25T02:12:45Z,MINT,451,-436,-133
2021-10-25T02:12:45Z,MINT,777,77,7
2021-10-25T02:12:45Z,MINT,4,8,12
2021-10-25T02:12:45Z,MINT,369,693,396
2021-10-25T02:12:45Z,MINT,-111,-333,-777
2021-10-25T02:12:45Z,MINT,13,26,39
2021-10-25T02:12:45Z,MINT,-22,-1,-96
2021-10-25T02:12:45Z,MINT,28,11,92
2021-10-25T02:12:45Z,MINT,7,7,10
2021-10-25T02:12:45Z,MINT,1,1,2
2021-10-25T02:12:45Z,MINT,983,-790,153
2021-10-25T02:12:45Z,MINT,0,69,1000
2021-10-25T02:12:45Z,MINT,-688,537,44
2021-10-25T02:12:45Z,MINT,123,456,111
2021-10-25T02:12:45Z,MINT,777,650,777
2021-10-25T02:12:45Z,MINT,-86,-130,971
2021-10-25T02:12:24Z,MINT,-986,272,223
2021-10-25T02:12:24Z,MINT,250,500,750
2021-10-25T02:12:24Z,MINT,666,777,888
2021-10-25T02:12:24Z,MINT,-1,2,-3
2021-10-25T02:12:17Z,MINT,-30,-247,703
2021-10-25T02:12:17Z,MINT,596,496,104
2021-10-25T02:12:17Z,MINT,690,690,690
2021-10-25T02:12:17Z,MINT,26,26,26
2021-10-25T02:12:11Z,MINT,870,-3,-446
2021-10-25T02:12:11Z,MINT,-16,36,-841
2021-10-25T02:12:11Z,MINT,-399,552,-192
2021-10-25T02:12:11Z,MINT,-367,-561,-121
2021-10-25T02:12:11Z,MINT,69,69,-420
2021-10-25T02:12:03Z,MINT,165,-250,453
2021-10-25T02:12:03Z,MINT,69,420,-1
2021-10-25T02:12:03Z,MINT,-11,11,-11
2021-10-25T02:12:03Z,MINT,520,250,777
2021-10-25T02:12:03Z,MINT,69,-69,420
2021-10-25T02:12:03Z,MINT,-1,-1,-2
2021-10-25T02:12:03Z,MINT,-126,126,126
2021-10-25T02:11:57Z,MINT,546,399,-423
2021-10-25T02:11:57Z,MINT,3,5,8
2021-10-25T02:11:57Z,MINT,9,99,999
2021-10-25T02:11:50Z,MINT,-217,888,405
2021-10-25T02:11:50Z,MINT,479,35,420
2021-10-25T02:11:44Z,MINT,31,10,90
2021-10-25T02:11:44Z,MINT,0,1000,1000
2021-10-25T02:11:44Z,MINT,-419,-169,435
2021-10-25T02:11:44Z,MINT,999,-999,999
2021-10-25T02:11:32Z,MINT,657,369,842
2021-10-25T02:11:32Z,MINT,239,124,848
2021-10-25T02:11:32Z,MINT,-781,-667,867
2021-10-25T02:11:32Z,MINT,-973,-786,65
2021-10-25T02:11:32Z,MINT,998,999,1000
2021-10-25T02:11:21Z,MINT,894,-257,-30
2021-10-25T02:11:21Z,MINT,-304,757,-72
2021-10-25T02:11:21Z,MINT,300,300,300
2021-10-25T02:11:21Z,MINT,126,126,126
2021-10-25T02:11:21Z,MINT,-250,250,250
2021-10-25T02:11:21Z,MINT,520,520,520
2021-10-25T02:11:21Z,MINT,888,8,888
2021-10-25T02:11:21Z,MINT,-705,-5,558
2021-10-25T02:11:21Z,MINT,-888,-88,-8
2021-10-25T02:11:21Z,MINT,50,0,0
2021-10-25T02:11:21Z,MINT,500,550,500
2021-10-25T02:11:21Z,MINT,183,831,318
2021-10-25T02:11:21Z,MINT,634,804,-223
2021-10-25T02:11:21Z,MINT,706,-77,-979
2021-10-25T02:11:21Z,MINT,158,315,-706
2021-10-25T02:11:21Z,MINT,24,15,36
2021-10-25T02:11:01Z,MINT,23,23,23
2021-10-25T02:11:01Z,MINT,-728,-632,-47
2021-10-25T02:11:01Z,MINT,800,8,5
2021-10-25T02:11:01Z,MINT,-390,-793,429
2021-10-25T02:11:01Z,MINT,102,45,196
2021-10-25T02:10:47Z,MINT,10,6,95
2021-10-25T02:10:47Z,MINT,746,-327,-227
2021-10-25T02:10:47Z,MINT,1,2,30
2021-10-25T02:10:47Z,MINT,616,895,-627
2021-10-25T02:10:47Z,MINT,-9,-30,-21
2021-10-25T02:10:47Z,MINT,-746,971,46
2021-10-25T02:10:47Z,MINT,11,5,11
2021-10-25T02:10:47Z,MINT,711,-333,982
2021-10-25T02:10:47Z,MINT,-895,-913,435
2021-10-25T02:10:47Z,MINT,420,69,143
2021-10-25T02:10:47Z,MINT,-987,-654,-321
2021-10-25T02:10:30Z,MINT,-315,314,-941
2021-10-25T02:10:30Z,MINT,13,37,420
2021-10-25T02:10:23Z,MINT,288,288,-288
2021-10-25T02:10:23Z,MINT,-484,-818,115
2021-10-25T02:10:23Z,MINT,-562,142,-714
2021-10-25T02:10:23Z,MINT,599,880,631
2021-10-25T02:10:23Z,MINT,-999,999,-999
2021-10-25T02:10:16Z,MINT,9,99,999
2021-10-25T02:10:16Z,MINT,956,805,51
2021-10-25T02:10:10Z,MINT,4,21,7
2021-10-25T02:10:10Z,MINT,69,888,420
2021-10-25T02:10:10Z,MINT,1,69,69
2021-10-25T02:10:10Z,MINT,343,343,343
2021-10-25T02:10:10Z,MINT,-907,962,-162
2021-10-25T02:10:10Z,MINT,14,-14,1
2021-10-25T02:10:10Z,MINT,994,-559,-326
2021-10-25T02:10:03Z,MINT,69,42,0
2021-10-25T02:10:03Z,MINT,3,6,5
2021-10-25T02:09:50Z,MINT,-4,-2,0
2021-10-25T02:09:50Z,MINT,-250,250,-250
2021-10-25T02:09:50Z,MINT,10,30,19
2021-10-25T02:09:50Z,MINT,951,572,751
2021-10-25T02:09:50Z,MINT,-103,119,-991
2021-10-25T02:09:50Z,MINT,6,7,8
2021-10-25T02:09:50Z,MINT,350,-345,-854
2021-10-25T02:09:50Z,MINT,2,3,4
2021-10-25T02:09:50Z,MINT,-584,-741,821
2021-10-25T02:09:50Z,MINT,133,-292,738
2021-10-25T02:09:37Z,MINT,1,3,5
2021-10-25T02:09:37Z,MINT,420,-420,69
2021-10-25T02:09:37Z,MINT,-975,720,370
2021-10-25T02:09:31Z,MINT,2,12,99
2021-10-25T02:09:31Z,MINT,997,997,997
2021-10-25T02:09:31Z,MINT,858,207,-77
2021-10-25T02:09:24Z,MINT,3,1,9
2021-10-25T02:09:24Z,MINT,7,2,99
2021-10-25T02:09:24Z,MINT,8,7,18
2021-10-25T02:09:24Z,MINT,7,77,999
2021-10-25T02:09:17Z,MINT,261,506,-774
2021-10-25T02:09:17Z,MINT,-70,781,-183
2021-10-25T02:09:17Z,MINT,917,917,917
2021-10-25T02:09:17Z,MINT,188,188,188
2021-10-25T02:09:17Z,MINT,428,570,-148
2021-10-25T02:09:17Z,MINT,6,9,420
2021-10-25T02:09:17Z,MINT,-100,0,-100
2021-10-25T02:09:17Z,MINT,841,-673,987
2021-10-25T02:09:17Z,MINT,800,813,555
2021-10-25T02:09:17Z,MINT,11,11,111
2021-10-25T02:09:17Z,MINT,-913,401,-789
2021-10-25T02:09:17Z,MINT,-321,-123,-321
2021-10-25T02:09:17Z,MINT,679,-887,790
2021-10-25T02:09:17Z,MINT,-680,-148,702
2021-10-25T02:09:17Z,MINT,-345,-381,-711
2021-10-25T02:09:17Z,MINT,2,0,0
2021-10-25T02:09:03Z,MINT,-221,472,-188
